label,Near earth,Magnitude,Eccentricity,Semi-major axis (AU),Perihelion distance (AU),Rotation period (s)
(AH128),N,13.3,0.1195,2.602,2.2911,
(AH13),N,13.8,0.2537,3.1445,2.3466,
(AH138),N,13.2,0.1835,3.1017,2.5325,
(AH142),N,13.3,0.0606,3.1781,2.9854,
(AH164),N,13.8,0.0556,2.9975,2.8309,21243.6
(AH175),N,13.5,0.1633,2.7667,2.3148,
(AH177),N,13.8,0.0849,2.9685,2.7166,
(AH18),N,12.5,0.085,3.0406,2.7823,
(AH18),N,13.7,0.1852,2.6564,2.1644,
(AH182),N,12.9,0.1606,2.7929,2.3443,86400
(AH2),N,12.3,0.1806,2.7608,2.2622,53784
(AH21),N,12.6,0.2039,3.1154,2.4802,
(AH21),N,13.7,0.0972,2.836,2.5605,
(AH214),N,13.7,0.1384,3.1584,2.7214,
(AH242),N,13.4,0.1316,2.6854,2.3319,
(AH32),N,12.9,0.0162,5.269,5.1837,
(AH33),N,13.6,0.2092,3.1708,2.5075,13035.6
(AH4),N,12.6,0.1743,5.2657,4.3477,
(AH41),N,13.6,0.2402,3.4146,2.5943,
(AH5),N,13.2,0.1227,3.119,2.7362,
(AH5),N,13.8,0.1066,2.3531,2.1023,
(AH6),N,13.5,0.0535,2.9009,2.7458,
(AH8),N,13.1,0.0835,3.1773,2.9119,
(AH95),N,12.8,0.0717,5.2037,4.8305,
(AJ),N,11.3,0.0458,3.2484,3.0995,
(AJ),N,12.7,0.1717,3.1991,2.6498,217458
(AJ),N,13.2,0.1817,3.1043,2.5403,
(AJ1),N,13.2,0.1009,2.9893,2.6875,
(AJ1),N,13.5,0.1088,2.5214,2.2472,
(AJ100),N,13.6,0.1899,3.0934,2.5059,
(AJ103),N,13.4,0.0306,2.9869,2.8956,
(AJ107),N,13.5,0.1005,5.1413,4.6246,
(AJ111),N,13.7,0.139,3.1138,2.6811,
(AJ114),N,12,0.0693,5.2682,4.9029,
(AJ125),N,12.9,0.0581,3.1524,2.9691,
(AJ148),N,13.6,0.1436,3.204,2.7438,
(AJ185),N,12.8,0.1037,5.2534,4.7087,
(AJ194),N,13,0.1333,3.1669,2.7447,
(AJ202),N,13.4,0.1851,2.545,2.074,
(AJ203),N,13.4,0.2053,3.0054,2.3882,62698.68
(AJ206),N,12.8,0.059,5.2506,4.9407,
(AJ237),N,13,0.0778,3.1447,2.9002,
(AJ242),N,13.9,0.188,3.197,2.5959,
(AJ246),N,12.9,0.1385,2.6122,2.2504,
(AJ25),N,12.1,0.0829,5.2264,4.7929,
(AJ3),N,13,0.1345,3.9612,3.4283,
(AJ5),N,13.2,0.2151,2.6133,2.0512,
(AJ51),N,13,0.0444,3.2529,3.1086,
(AJ54),N,13.1,0.0695,2.9359,2.7318,17607.6
(AJ55),N,13.2,0.095,2.9482,2.6681,36100.8
(AJ64),N,13.4,0.1121,2.8144,2.499,
(AJ68),N,12.9,0.0523,3.1111,2.9485,
(AJ87),N,12,0.0654,5.2487,4.9054,
(AK),N,9,0.0603,5.207,4.893,45295.2
(AK),N,13.4,0.1585,3.0336,2.5527,17244
(AK),N,13.1,0.0448,2.6548,2.5358,
(AK1),N,12.4,0.0226,3.0052,2.9374,
(AK1),N,13.1,0.3168,2.6549,1.8139,31680
(AK105),N,12.9,0.0694,2.9964,2.7884,
(AK119),N,11.9,0.1507,2.6159,2.2217,13147.2
(AK120),N,13.6,0.0615,3.3572,3.1508,
(AK124),N,13.8,0.0358,3.1423,3.0298,
(AK13),N,12.5,0.1574,3.1639,2.6659,
(AK149),N,13.9,0.0937,3.058,2.7715,
(AK156),N,10.5,0.0923,5.227,4.7446,27036
(AK161),N,13.9,0.0356,3.4178,3.2961,
(AK164),N,13.5,0.1119,2.5972,2.3064,
(AK194),N,13.6,0.0372,3.1689,3.0511,
(AK203),N,13.2,0.1743,2.6546,2.1918,
(AK21),N,13.3,0.0778,2.4613,2.2697,
(AK233),N,13.4,0.1673,2.6662,2.2202,
(AK245),N,13.5,0.1715,2.5723,2.1313,
(AK3),N,13.6,0.1641,2.7554,2.3032,
(AK5),N,13.2,0.1142,2.9897,2.6482,
(AK5),N,13.6,0.0575,2.9835,2.8121,
(AK60),N,13.8,0.0323,3.1353,3.0342,
(AK62),N,13,0.0665,3.1365,2.928,48535.2
(AK7),N,13.3,0.0957,3.1558,2.8537,
(AK90),N,13.8,0.1066,2.9798,2.6622,
(AK91),N,13.7,0.0742,3.2161,2.9776,
