label,Near earth,Magnitude,Eccentricity,Semi-major axis (AU),Perihelion distance (AU),Rotation period (s)
Demophon(TQ),N,10.1,0.1195,5.2573,4.629,107352
Demoulina(RE),N,12.9,0.1544,2.24,1.8941,269496
Denali(TN),N,12.9,0.0986,2.3785,2.144,
Dence(JZ),N,12.6,0.2314,2.3937,1.8398,27165.6
Denevi(ST2),N,13.2,0.1509,3.1711,2.6926,
Denise(AOF),N,9.4,0.1903,3.1825,2.5769,45673.2
Denismukwege(DW34),N,13.5,0.1354,2.805,2.4252,
Denisyuk(HR),N,12.4,0.1352,3.1219,2.6997,113622.12
Dennispalm(YB),N,13.2,0.256,2.636,1.9613,14810.4
Dennisreuter(DR),N,13.6,0.1741,2.2693,1.8743,9280.8
Denoyelle(RS4),N,12.9,0.0857,3.158,2.8873,
Dentrujillo(DV73),N,13.7,0.1723,3.1671,2.6215,
Denzen(KA),N,13.4,0.0868,2.4892,2.2733,
Denzilrobert(AN2),N,11.8,0.1313,3.0274,2.6298,51517.116
Derdenye(EH14),N,13.5,0.1772,2.6643,2.1922,43200
Derevskaya(KJ),N,12,0.1007,2.9996,2.6975,
Derevyanko(QD3),N,13.3,0.2438,2.6505,2.0042,
Derice(LC),N,12,0.1072,2.2367,1.9968,11606.4
Derichardson(SH54),N,13.3,0.1036,3.2085,2.876,
Dermott(AD1),N,11.6,0.1033,2.7987,2.5096,78404.4
DeRop(PJ5),N,13.4,0.1856,2.4138,1.9657,
Dersu-Uzala(KE),N,13.1,0.1515,1.9115,1.6219,993600
Dervan(ML3),N,13.5,0.0942,2.5935,2.3492,
Desagneauxa(XB),N,10.8,0.057,3.0191,2.847,33768
DeSanctis(DD),N,13.1,0.1269,2.3471,2.0493,61200
Descamisada(MH),N,11.3,0.0727,3.032,2.8114,
Descartes(RK5),N,12.7,0.0388,2.7046,2.5998,
Desdemona(AOG),N,10.7,0.2377,2.5932,1.9769,52585.2
Desforges(UT6),N,13.7,0.1752,2.6617,2.1953,31694.4
Deshpande(TH101),N,13.9,0.1778,2.7687,2.2764,
Desiderata(AWA),N,8.3,0.3137,2.5966,1.782,38689.2
DeSitter(SR1),N,11.1,0.16,3.1624,2.6563,
Desnoux(EP30),N,12.1,0.1147,3.0388,2.6902,68400
Destinn(DE),N,12.8,0.1003,2.6625,2.3954,
deVillegas(QO3),N,13.1,0.0552,3.149,2.9751,27820.8
Devine(HO),N,11.1,0.1296,3.9605,3.4471,34596
Devonburr(SF1),N,13.5,0.1361,2.5905,2.2378,
DeVorkin(CO),N,12.8,0.2197,2.3017,1.796,22182.84
Devosa(ASB),N,8.8,0.1362,2.3849,2.06,16750.8
Devota(UA),N,10.1,0.1348,3.5017,3.0297,62964
Dezhnev(RU2),N,12.1,0.1713,2.6532,2.1988,
Dezso(HD),N,12.5,0.1402,2.6059,2.2407,13061.16
Dhotel(TH2),N,12,0.2613,2.6913,1.9882,115200
Diana(AEA),N,8.4,0.2071,2.6188,2.0763,26276.76
Dibaj(QC1),N,12.9,0.2343,2.4435,1.871,
Dicicco(VG7),N,13.1,0.16,2.2748,1.9108,12942
Dickbeasley(FN),N,13.9,0.2057,2.5576,2.0314,12607.2
Dickjoyce(RJ1),N,13.2,0.059,3.1934,3.0049,
Didkovskij(GS3),N,13.6,0.1784,2.4529,2.0153,
Dido(AUC),N,8.2,0.0561,3.1486,2.972,20651.76
Diebel(GA10),N,12.6,0.1763,2.7749,2.2856,47987.892
Dieckvoss(TS),N,13,0.1146,2.1253,1.8817,9321.984
Dientzenhofer(HG1),N,13.5,0.1325,2.2906,1.987,29023.2
Dietz(JA1),N,12.9,0.2334,2.3407,1.7944,10628.712
Digerrojr(FT5),N,12.9,0.041,3.0575,2.9323,
Digne(SG8),N,13.8,0.1848,2.3404,1.9079,
Dijon(QH3),N,13.4,0.0869,2.8412,2.5944,11783.1708
Dikan'ka(GY1),N,13.8,0.1431,2.3721,2.0326,
Dike(AKA),N,9.5,0.195,2.6649,2.1453,65257.2
Diluca(OE),N,12.4,0.0604,3.0598,2.875,
DiMaggio(LC),N,11.6,0.1372,2.6056,2.2482,23691.6
DiMartino(YE),N,13.2,0.1286,2.3782,2.0724,19602
Dimitrov(VR3),N,12.5,0.0139,2.442,2.408,23040
Dinant(EY),N,12.2,0.055,3.1464,2.9734,
Diomedes(PB),N,8.2,0.0438,5.2051,4.9771,88164
Dione(ATA),N,7.5,0.1599,3.183,2.6741,58356
Diotima(AXA),N,7.3,0.0357,3.0674,2.958,17190
Dipippo(UH42),N,13.6,0.0721,2.9764,2.7618,
Dirikis(GD),N,11.4,0.1109,3.1393,2.7913,82800
Disa(FO),N,10.6,0.2059,2.9875,2.3725,25488
Disora(XS38),N,13.2,0.1613,2.659,2.2301,
Distasio(YN),N,13.9,0.1641,2.799,2.3396,
Dius(YY),N,12,0.0516,5.2561,4.9848,
Divari(QU2),N,13.1,0.0998,2.4868,2.2387,
Divis(RP1),N,13.2,0.013,2.7496,2.7138,
Dizzy(JG),N,13,0.1437,2.6874,2.3013,32666.4
Dmitrienko(UO6),N,13,0.1141,3.0131,2.6692,
Dmitrijbagalej(RV),N,13.8,0.2966,2.7656,1.9454,
DNA(YR2),N,13.6,0.1318,2.5632,2.2253,
Dobronravin(YX),N,12.9,0.2039,3.0584,2.4346,23036.472
Dobrovoleva(SD7),N,13.9,0.1418,2.3583,2.0238,29889
Dobrovolsky(QC),N,12.3,0.1882,2.2138,1.7971,17325
Dobrynya(SC6),N,13.4,0.202,2.3576,1.8813,
Dobson(KK4),N,13.9,0.0669,3.185,2.972,
Dodaira(UZ7),N,13.3,0.1109,2.9951,2.6628,
Dodo(UU),N,13.1,0.0973,2.4728,2.2322,
Dodona(ABB),N,8.8,0.1715,3.1226,2.5872,14806.8
Doga(UF5),N,13.2,0.1633,2.7631,2.3117,10623.6
Dogen(WB),N,12.9,0.3286,2.7484,1.8454,14986.8
Doggett(CB1),N,13.4,0.1465,2.311,1.9725,
Dohmoto(SZ1),N,12.4,0.2309,3.0782,2.3675,25062.48
Doi(TP1),N,12.2,0.1733,3.2129,2.6559,75250.8
Dolezal(P-L),N,13.3,0.1988,2.7684,2.218,
Dolios(SL1),N,11.3,0.0872,5.1697,4.7192,93963.6
Dollfus(RQ),N,11.8,0.1532,2.7243,2.3069,172800
Dolon(QN),N,10.2,0.059,5.2715,4.9605,
Dolores(HA),N,11.2,0.2372,2.7009,2.0601,45633.6
Dolphyn(WD1),N,13.5,0.1593,3.1592,2.6558,
Dominique(ET38),N,12.9,0.1568,2.7769,2.3416,
Dommanget(QJ),N,12.6,0.063,2.7442,2.5715,
Domon(TK1),N,12.5,0.0714,2.9254,2.7166,27086.4
Donaldkessler(UE28),N,13.9,0.0762,2.7844,2.5722,
Donalu(SB4),N,11.9,0.0842,2.579,2.362,11340
Donar(P-L),N,12.2,0.0549,2.9301,2.7691,
Donatello(T-3),N,13.6,0.2214,2.7149,2.1139,22406.4
Doncampbell(RH),N,12.4,0.141,2.6177,2.2486,46875.6
Dondavis(SM46),N,13,0.1686,3.1101,2.5857,
Dondelia(WA1),N,12.7,0.0706,2.905,2.7,
Dongguan(UF2),N,11.8,0.1949,3.1594,2.5438,
Dongqiao(EL20),N,13.9,0.1167,3.0521,2.6958,
Donherbert(EO204),N,12.5,0.0518,3.0407,2.8832,
Donizetti(T-3),N,13,0.1492,2.5636,2.1811,22420.8
Donmccarthy(ER17),N,13.1,0.1725,3.1033,2.568,
Donn(YB),N,13.2,0.0712,2.2874,2.1245,441000
Donna(DA),N,13.1,0.1015,2.3879,2.1454,17272.44
Donnera(QL),N,10.1,0.1006,3.1613,2.8433,26031.96
DonQuixote(SA),Y,12.9,0.7089,4.2606,1.2401,23994
Donsaari(YA),N,13.7,0.2786,2.5602,1.8469,
Donskoj(YP1),N,12.9,0.1742,3.1065,2.5653,
Doppler(QO),N,12.7,0.2562,2.5617,1.9055,182880
Dora(AOH),N,12,0.2359,2.7944,2.1353,82490.4
Doressoundiram(OD),N,13.2,0.3008,2.62,1.8318,53229.6
Dorffel(UF4),N,12.2,0.0685,2.8547,2.6591,11448
Doris(ASA),N,7.1,0.0723,3.1095,2.8848,42804
Doroguntsov(SR2),N,13.5,0.2745,3.1024,2.2507,14472
Doronina(PM1),N,13.8,0.2154,2.5686,2.0155,
Dorothea(ASC),N,9.4,0.0981,3.0123,2.7168,21506.4
Dorsey(KD1),N,12.1,0.101,3.0102,2.7063,64116
Dortmund(RP2),N,12,0.1807,2.6174,2.1445,
Dostoevsky(SS5),N,12.2,0.0861,2.3866,2.1811,11376.72
Doudantsutsuji(DT),N,13.1,0.0976,3.1322,2.8265,
Doudleby(DX),N,12.9,0.0929,2.6133,2.3706,42760.8
Douglas(AH1),N,11.6,0.0472,3.0521,2.9081,
Doumergua(VF),N,13,0.1493,2.45,2.0842,
Dovzhenko(QJ3),N,13.2,0.2198,2.2742,1.7744,17042.4
Dr.G.(SO1),N,13.5,0.1597,3.1421,2.6403,
Drake(PC1),N,13,0.2213,3.1425,2.447,
Drakonia(AUO),N,10.9,0.1344,2.4353,2.1079,19753.2
Drebach(GU9),N,12.9,0.0927,2.4894,2.2587,14857.2
Dresda(AVB),N,10.2,0.0779,2.8871,2.6624,60512.4
Drewesquivel(MU8),N,13.6,0.1165,2.5615,2.2631,
Dreyfus(UP3),N,13.9,0.0589,2.2418,2.1097,18900
Drobyshevskij(EN1),N,12.6,0.1324,3.1405,2.7247,13950
Drossart(NH1),N,13,0.0771,2.8875,2.6648,
Drtikol(AK1),N,13.2,0.0618,2.3855,2.2381,
Drukar(TS2),N,11.5,0.0243,3.4052,3.3223,
Drummen(T-3),N,13.3,0.1287,3.0463,2.6542,
Drunina(TB2),N,12.6,0.0612,2.8991,2.7216,
Druyan(VO2),N,13.4,0.1453,2.3955,2.0474,
Druzhba(TM),N,11.8,0.1191,2.23,1.9645,357120
Drymas(T-3),N,11.4,0.069,5.1793,4.8219,101113.2
Dubiago(PB),N,9.7,0.0689,3.4139,3.1786,51480
Dubinin(AZ1),N,11.5,0.1033,3.2154,2.8832,50623.2
Dubner(RA2),N,13.1,0.2257,2.4231,1.8763,
Duboshin(GU2),N,10,0.1576,3.9619,3.3374,182808
DuBridge(TS),N,13.9,0.2746,2.7304,1.9807,
Duccio(PJ5),N,13.2,0.1143,3.2015,2.8357,
Ducentesima(GO),N,13,0.0995,3.177,2.8608,49636.8
Ducrosa(AEC),N,10.5,0.1163,3.126,2.7624,24732
Ducuroir(BD1),N,13.6,0.0946,2.588,2.3432,49860
Dudorov(EO9),N,12.5,0.17,3.1964,2.6531,
Dudu(AJD),N,10.3,0.2774,2.7455,1.9839,31975.2
Duerbeck(SW2),N,13,0.1513,2.8721,2.4374,
Dufek(RG1),N,12.4,0.0728,2.8434,2.6363,
Duffard(EU18),N,13.7,0.1736,3.0736,2.54,
Dufour(WA),N,10.8,0.1246,3.1935,2.7956,56844
Duhamel(PH1),N,13.7,0.1449,3.2133,2.7477,
Dulcinea(ARA),N,11.7,0.2438,2.409,1.8216,454680
Duna(HM13),N,12.9,0.1051,3.2043,2.8674,
Dunaevskij(SZ5),N,12.7,0.1655,3.1321,2.6138,
Dunant(WE),N,12.1,0.2396,3.1808,2.4188,
Dunbar(VS10),N,13.1,0.0543,2.6347,2.4916,
Duncan(DH),N,12.4,0.0376,2.7889,2.684,
Duncombe(QT),N,11,0.0897,3.3844,3.0808,
Dunham(QF2),N,13.4,0.1343,2.4616,2.1309,621122.4
Dunkelman(RX230),N,12.7,0.0823,3.5484,3.2563,
Dunlap(VX3),N,12.7,0.1036,3.1505,2.8242,
Dunphy(VO32),N,13.2,0.1454,2.6457,2.2609,15552
Duponta(XA),N,12.6,0.1129,2.2639,2.0083,13876.308
Durance(SN4),N,13.5,0.1317,2.5995,2.2571,
Durbin(GL3),N,12.3,0.0759,2.9137,2.6925,
Durer(BB1),N,10.7,0.0869,2.9667,2.7088,22777.2
Durisen(FK1),N,11.4,0.2201,2.9404,2.2933,25203.6
Durrell(SG),N,12.4,0.2524,2.7269,2.0387,
Dwingeloo(T-2),N,13.5,0.1019,2.9452,2.6451,
Dworetsky(PS),N,11.5,0.0415,2.9373,2.8155,45972
Dyagilev(TC2),N,12.8,0.1484,2.4514,2.0876,23040
Dynamene(AOA),N,8.3,0.132,2.737,2.3756,134618.4
Dynamocamp(CT1),N,13.9,0.1299,3.1507,2.7413,
Dysona(EB1),N,9.5,0.1013,3.1877,2.8648,30988.8
Dyukov(OX),N,12.6,0.1796,2.6117,2.1428,17481.6
Dzhalil(KE),N,12.8,0.0756,2.5778,2.383,61430.4
Dzhangar(SG1),N,13.3,0.1131,2.5522,2.2636,
Dzhanibekov(SS11),N,12.5,0.0886,2.9284,2.6689,21860.64
Dzus(ATC),N,11.5,0.2005,2.7281,2.1811,209232
Earhart(DE),N,12,0.1804,2.352,1.9277,12832.2
Earlcarpenter(CY2),N,12.3,0.0657,2.9922,2.7957,
Ebella(TB1),N,13.5,0.2715,2.5366,1.8479,
Ebenum(GA4),N,13.2,0.0934,3.2163,2.916,37969.2
Ebilson(SM2),N,11.9,0.0347,2.79,2.6931,
Eboshi(TF1),N,13.4,0.1338,3.0786,2.6666,175535.28
Echemmon(TV12),N,10.8,0.0919,5.1819,4.7059,30492
Echepolos(T-3),N,11.8,0.0119,5.2062,5.1443,
Echion(VB1),N,11.7,0.0745,5.2564,4.8649,30456
Echo(ARB),N,8.5,0.1848,2.3921,1.9499,90748.8
Eckhout(P-L),N,13.6,0.0562,2.9172,2.7533,
Ecoadachi(WE2),N,13,0.2167,2.7463,2.1513,132951.6
Ecuador(CQ2),N,12.7,0.0946,3.065,2.7751,143359.2
Edburga(AAA),N,9.9,0.3413,2.5854,1.7031,56782.8
Edda(ASG),N,10,0.0106,2.8142,2.7845,80424
Eddington(AE),N,12.3,0.1801,3.0838,2.5284,
Eddywally(PO9),N,13.1,0.124,3.1626,2.7706,
Edebono(DE),N,12,0.0791,2.9397,2.707,10755
Edgarchavez(EF21),N,12.8,0.1209,2.9883,2.627,21262.392
Edgerton(JA),N,12.6,0.1533,3.0792,2.6072,
Edgeworth(UF),N,12.5,0.1743,2.6062,2.152,
Edhenderson(EZ25),N,12.7,0.2087,3.1817,2.5178,
Edinburgh(SV),N,12.8,0.0862,2.8098,2.5677,
Edisona(ADC),N,9.5,0.1162,3.0138,2.6636,66672
Edith(ASK),N,9.5,0.1792,3.1554,2.5898,33388.92
Edmee(BA),N,10.5,0.0791,2.7416,2.5246,85482
Edna(ATC),N,9.2,0.197,3.1985,2.5685,71852.4
Edo(WM),N,13.2,0.1585,2.5555,2.1505,14706
Edoardopozio(NA),N,13.3,0.1763,2.5796,2.1247,
Edolsen(EO34),N,13.7,0.2126,2.6317,2.0723,
Edpatvega(OT4),N,13.4,0.1706,2.6627,2.2086,15552
Edscott(ED27),N,12.9,0.0626,2.9821,2.7956,
Edshay(SC5),N,11.9,0.1654,2.5656,2.1413,12398.4
Edstolper(EF26),N,12.6,0.1056,3.2127,2.8734,
Eduarda(ASD),N,9.9,0.1162,2.7457,2.4267,28822.32
Educatio(VQ4),N,13.2,0.1632,2.2156,1.8541,5619600
Edvardsson(DP8),N,13.9,0.2769,2.8049,2.0282,
Edwardsu(CL69),N,13.8,0.138,2.3848,2.0556,
Edwin(AXF),N,10.7,0.0635,2.986,2.7962,19046.16
Edyalge(CA),N,13.1,0.0456,2.9435,2.8094,
Efremiana(JA2),N,11.1,0.084,3.1261,2.8635,23248.8
Efremov(SY5),N,13.2,0.1415,2.5877,2.2216,
Egami(FJ5),N,12.4,0.1254,2.5743,2.2514,9572.4
Egeria(AVA),N,6.8,0.0853,2.5761,2.3564,25362
Egisto(DP3),N,13.3,0.1136,3.2215,2.8555,
Egorov(QL1),N,13.2,0.0882,2.7501,2.5075,
Ehdita(RO5),N,12,0.2928,3.9409,2.787,144000
Ehrdni(RJ2),N,12.7,0.0965,2.4737,2.2351,47520
Ehrenfest(ET2),N,13.7,0.1538,2.6613,2.252,
Ehrenfreund(T-3),N,13.1,0.0881,2.9945,2.7307,13492.8
Ehrsson(EA),N,12.5,0.2292,2.4098,1.8576,280800
Eicher(LJ),N,12.4,0.1117,2.6267,2.3332,37098
Eichsfeldia(ACA),N,10,0.0707,2.3454,2.1795,42735.6
Eijikato(DK),N,12.1,0.1453,2.578,2.2034,27576
Eijkman(P-L),N,13.5,0.16,3.082,2.5888,
Eizaburo(VL),N,12.7,0.1726,2.599,2.1504,10353.6
Ekard(AVC),N,9.2,0.3225,2.6716,1.81,21330
Ekaterina(SP15),N,12.4,0.1634,3.1151,2.6061,
Ekaterinburg(SA6),N,13.1,0.3314,3.1411,2.1002,
Ekers(T-2),N,13.6,0.1582,3.0846,2.5966,
El-Baz(VA6),N,13.7,0.1254,3.2344,2.8287,
Elba(KA),N,11.9,0.1419,2.7381,2.3495,35202.6
Elbsteel(VC1),N,13,0.2253,2.6951,2.088,
ElDjezair(AKF),N,10.3,0.1034,2.8129,2.5219,53388
Elektra(ADA),N,7.1,0.2089,3.1253,2.4724,18810
Eleonora(ABC),N,6.44,0.1137,2.7978,2.4796,15397.2
Eleutheria(AKB),N,9.2,0.0902,3.1347,2.8519,27781.2
Elford(LA),N,12.8,0.1081,2.6071,2.3254,23628.6
Elfriede(AUM),N,8.3,0.0695,3.1887,2.9671,53247.6
Eliane(FL),N,10.8,0.1727,2.6173,2.1653,496080
Eliason(JB2),N,12,0.0408,3.1576,3.0289,
Elineke(YV),N,12.4,0.1002,2.6154,2.3533,9900
Elinor(EG),N,11.1,0.1971,2.6368,2.117,9943.2
Eliotyoung(GM110),N,13.9,0.1349,3.0679,2.654,12708
Elisa(APE),N,12.1,0.2046,2.2984,1.8282,59371.2
Elisabetha(AAB),N,9.2,0.0425,2.7632,2.6458,70686
Elizabethann(KG),N,11.8,0.0942,2.646,2.3968,17146.8
Ella(ARA),N,10.4,0.1557,2.4495,2.068,16642.8
Ellenbeth(TC4),N,12.8,0.2292,2.7877,2.1488,87264
Ellenkey(EK54),N,13.4,0.0947,3.2017,2.8986,
Ellensburg(QD),N,13,0.1666,2.6557,2.2133,
ElLeoncito(TA1),N,10.3,0.0419,3.6347,3.4824,66960
Ellicott(BC),N,10.1,0.0568,3.4336,3.2388,32654.16
Ellington(EE),N,11.6,0.1972,2.8564,2.293,29988
Elliot(DJ),N,13.2,0.1065,2.2956,2.0512,11170.8
Elly(AUK),N,10.6,0.0594,2.5528,2.4012,19069.2
Elmer(XC),N,12.7,0.1688,2.7895,2.3185,
Elpis(ARA),N,8,0.1188,2.7135,2.3912,49215.6
Elsa(ACC),N,9.1,0.1865,2.4161,1.9655,288316.8
Elsasser(P-L),N,13,0.1841,3.165,2.5823,20052
Elsheimer(EA13),N,13.8,0.1371,3.2469,2.8018,57492
Elsschot(EM3),N,12.1,0.0498,3.0064,2.8567,
Eltigen(SK2),N,11.4,0.1686,3.1524,2.6209,24926.4
Eluard(BD2),N,13.1,0.2352,3.1535,2.4118,23122.8
Elvira(AJA),N,9.9,0.0923,2.8837,2.6176,106884
Elyna(UF),N,10.8,0.0864,3.0127,2.7525,19519.56
Elyu-Ene(VY5),N,12.7,0.1706,3.9309,3.2603,
Emanuela(ASK),N,9.3,0.1919,2.9896,2.4159,73454.4
Embla(TK4),N,13.5,0.2365,2.3545,1.7976,53640
Emel'yanov(RM2),N,13.1,0.0054,2.7448,2.7299,52200
Emiko(VV2),N,12.4,0.1757,2.5966,2.1404,11268
Emileschweitzer(YD2),N,13.8,0.1425,3.1458,2.6975,
Emilhaury(VX1),N,13.2,0.1378,2.3023,1.9851,
Emilkowalski(VA),N,13.6,0.1502,2.5996,2.2092,40071.6
Emita(ACB),N,8.9,0.1575,2.7402,2.3086,51883.2
Emma(ACA),N,8.6,0.1441,3.0482,2.6089,24825.6
Emmons(RE2),N,13.5,0.2425,2.2604,1.7123,10900.8
EMP(SB1),N,12.2,0.1708,2.6639,2.2088,
Empedocles(GB3),N,12.9,0.2042,2.567,2.0428,
Enari(XB2),N,13.7,0.1084,2.9211,2.6045,
Encrenaz(NX1),N,13.3,0.1084,2.4719,2.2038,
Endate(UQ1),N,13.6,0.1441,2.3922,2.0474,122400
Endres(DN1),N,13.6,0.0875,2.6718,2.438,21164.4
Endymion(AUA),N,10.3,0.1296,2.568,2.2352,22748.4
Eneev(SO4),N,11.1,0.1646,3.9445,3.2953,385560
Engelhardt(BO2),N,12.3,0.2121,2.3139,1.8232,11037.96
Engels(EK3),N,13.5,0.1912,2.5761,2.0837,
Engstrom(FW2),N,13.5,0.1612,3.1437,2.6368,18831.6
Enid(WF),N,12.6,0.1154,3.2224,2.8506,42041.808
Enirac(GG),N,13,0.3187,2.6419,1.7999,10793.88
Ennomos(TU2),N,8.6,0.0212,5.258,5.1466,44190
Ensor(UR),N,11.9,0.2018,2.7591,2.2024,
Entsuji(EG5),N,12.8,0.2488,2.3687,1.7794,10111.32
Eos(ABA),N,7.7,0.1035,3.0135,2.7014,37594.8
Epeigeus(BB1),N,10.4,0.0732,5.2048,4.824,66312
Epeios(UW),N,10.8,0.0578,5.2156,4.9143,
Epetersen(GL1),N,13.3,0.1298,2.2331,1.9432,18090
Epicles(ES6),N,11.7,0.0453,5.2631,5.0245,
Epikouros(QS1),N,13.7,0.1704,2.4496,2.0323,
Epimetheus(P-L),N,12.6,0.0923,2.2235,2.0184,102996
Epistrophos(T-2),N,11.9,0.1046,5.2219,4.6758,
Epops(P-L),N,12.8,0.1267,3.2188,2.8109,
Epstein(GN8),N,11.5,0.0642,3.0058,2.8128,30632.4
Epyaxa(AFJ),N,12.8,0.0785,2.1971,2.0247,15811.2
Erato(ARD),N,8.7,0.1677,3.1286,2.6041,33196.68
Eratosthenes(P-L),N,12.8,0.1531,3.1212,2.6434,
Erbisbuhl(RH),N,12.1,0.3758,2.3595,1.4727,40608
Ercilla(FB12),N,13.7,0.1997,2.4197,1.9366,
Erda(ALA),N,9.7,0.1104,3.1197,2.7752,16882.92
Erfjord(MS6),N,13.1,0.0744,2.4252,2.2448,
Erfordia(JA),N,10.5,0.0311,3.1349,3.0375,44233.2
Eri(OC),N,12.8,0.1558,2.6835,2.2655,
Eric(SQ),Y,12.5,0.4494,2.0009,1.1017,43401.6
Erichthonios(HU10),N,11.3,0.0546,5.2643,4.9768,94550.4
Ericjones(SG21),N,12.9,0.096,3.0554,2.762,65091.6
Ericlinton(WQ11),N,13.4,0.1177,3.1692,2.7961,
Ericpalmer(AM243),N,12.7,0.0516,3.1484,2.9861,
Erictemplebell(RX6),N,13.3,0.0185,2.8989,2.8452,
Erida(ASA),N,9.7,0.1988,3.0577,2.4497,62809.2
Erigone(AHC),N,9.7,0.1919,2.3662,1.912,58089.6
Erika(ACE),N,9.6,0.1692,2.913,2.42,52570.8
Erikafuchs(XV7),N,13.1,0.1738,2.684,2.2176,
Erikhog(T-3),N,11.9,0.0846,3.0408,2.7836,28787.364
Erikhovland(HO20),N,12.8,0.1544,2.6305,2.2244,19233.36
Erikolsson(FA40),N,13.4,0.1047,2.4617,2.2039,
Erikson(GE9),N,13.4,0.1639,3.1591,2.6412,
Erimomisaki(BT1),N,12.5,0.3889,2.7691,1.6922,87336
Erin(LA),N,12.1,0.1845,2.5443,2.0749,20586.96
Eriphyla(AUJ),N,9.4,0.0883,2.8717,2.6181,31172.4
Ermak(TC2),N,12.1,0.1269,3.016,2.6334,
Erminia(ATE),N,8.4,0.0503,2.9221,2.7753,194256
Ermolova(ST6),N,12.7,0.1322,2.3132,2.0073,9383.04
Erna(AQA),N,10.3,0.1782,2.9164,2.3967,31640.4
Ernestina(AED),N,10.9,0.1109,2.8669,2.549,18130.68
Ernestoruiz(SD58),N,12.4,0.0496,3.0173,2.8676,
Ernst(EO7),N,13.6,0.1052,2.5992,2.3257,
Eros(APA),Y,10.4,0.223,1.458,1.133,18972
Erynia(AEN),N,11,0.2029,2.4464,1.95,35604
Erzgebirge(TV13),N,13.8,0.1396,2.3635,2.0336,
Escalante(NL),N,13.3,0.2172,2.4307,1.9027,30751.2
Esclangona(YG),N,12.6,0.0323,1.8663,1.8059,11710.188
Espenak(QJ54),N,13.7,0.0879,2.3839,2.1744,
Esperanto(FQ),N,10.4,0.0845,3.0874,2.8264,79135.2
Espinette(PB),N,12.8,0.278,2.2842,1.6491,26787.24
Esquibel(FA1),N,12.8,0.1192,2.762,2.4328,
Esteban(QH10),N,13.6,0.1438,2.3162,1.9831,286632
Esteracuna(EA4),N,13.4,0.1439,3.1209,2.672,
Esther(AVN),N,10.3,0.2433,2.4142,1.8268,171000
Estonia(CK),N,11.4,0.0698,2.7675,2.5744,36360
Estremadoyro(VE5),N,12.9,0.2336,2.783,2.133,74702.16
Eteoneus(TL15),N,11.4,0.0207,5.1444,5.0378,
Ethel(OH),N,11.4,0.1263,3.0699,2.6822,
Etheridgea(AGA),N,9.7,0.0961,3.0249,2.7341,91134
Ethiopia(PG),N,12,0.2258,2.3817,1.8439,35444.88
Etna(FD),N,12.1,0.196,3.9668,3.1895,
Etrepigny(SR2),N,13.2,0.0436,2.8954,2.7693,
Eubanks(RC1),N,13.7,0.1928,2.6764,2.1605,
Euboea(UB),N,11.3,0.1556,2.6104,2.2043,41076
Eucharis(ACB),N,7.9,0.2068,3.1245,2.4784,188028
Euclides(P-L),N,13.5,0.2059,2.8021,2.2252,
Eucryphia(SG2),N,13.5,0.1715,2.5644,2.1245,
Eudora(AQA),N,9.9,0.3105,2.8663,1.9764,90979.2
Euforbo(CG2),N,8.7,0.1186,5.1855,4.5704,31845.6
Eugenia(AMA),N,7.5,0.0842,2.7193,2.4904,20516.4
Eugenisis(ADD),N,10.3,0.0595,2.7931,2.6268,36828
Eukrate(AEB),N,8.2,0.2452,2.7412,2.069,43534.8
Eulalia(AUL),N,11,0.1285,2.4871,2.1676,104281.2
Eulenspiegel(AT2),N,13.6,0.1592,3.174,2.6688,
Euler(QQ1),N,12.4,0.0683,2.4178,2.2526,21574.44
Eumaios(SF1),N,11.7,0.1521,5.1416,4.3596,48240
Eumelos(DK),N,10.4,0.0772,5.2022,4.8007,138276
Euneus(SH1),N,10.3,0.0642,5.154,4.8233,35028
Eunike(AEA),N,7.7,0.1284,2.7398,2.3879,78469.2
Eunomia(AOA),N,5.2,0.1862,2.6437,2.1515,21898.8
Euphemia(AEM),N,11.1,0.1124,2.623,2.3281,1260000
Euphrosyne(ARA),N,6.8,0.2199,3.1581,2.4635,19908
Eupraksia(SA3),N,11,0.2015,4.0193,3.2095,272404.8
Euripides(P-L),N,13,0.022,2.7811,2.7199,
Europa(ACA),N,6.4,0.1104,3.0942,2.7525,20269.44
Europaeus(T-2),N,12.6,0.1165,3.0135,2.6624,
Euryalos(SR),N,10.3,0.0561,5.1788,4.8883,23007.6
Euryanthe(AFC),N,10.4,0.1505,2.726,2.3158,154760.4
Eurybates(SO),N,9.8,0.0893,5.1968,4.733,31359.6
Eurydamas(CR18),N,11.6,0.0738,5.2883,4.8978,54126
Eurydike(ASA),N,9,0.3035,2.674,1.8624,19285.2
Eurykleia(AHA),N,9.2,0.0434,2.8771,2.7524,59475.6
Eurymachos(P-L),N,11,0.0034,5.2018,5.1843,
Eurymedon(P-L),N,10.6,0.0867,5.2639,4.8078,165600
Eurynome(ARA),N,8,0.19,2.4446,1.9803,21520.8
Eurypylos(CJ3),N,10.5,0.0528,5.2132,4.9377,21794.4
Eurysaces(P-L),N,11.1,0.0465,5.3032,5.0564,
Euterpe(AVA),N,7,0.1731,2.3462,1.94,37469.52
Eva(ANA),N,8.8,0.3468,2.6314,1.7189,49176
Evanchen(EQ41),N,13.5,0.0291,3.0002,2.9129,4068
Evans(CA1),N,11.5,0.0834,2.896,2.6546,12229.2
